Month,Mean_Temprature
1955-09-30 00:00:00,26.19
1955-10-31 00:00:00,24.22
1955-11-30 00:00:00,21.14
1955-12-31 00:00:00,18.69
1956-01-31 00:00:00,18.01
1956-02-29 00:00:00,19.66
1956-03-31 00:00:00,23.44
1956-04-30 00:00:00,26.72
1956-05-31 00:00:00,28.72
1956-06-30 00:00:00,27.54
1956-07-31 00:00:00,26.58
1956-08-31 00:00:00,26.23
1956-09-30 00:00:00,26.26
1956-10-31 00:00:00,24.05
1956-11-30 00:00:00,21.23
1956-12-31 00:00:00,18.97
1957-01-31 00:00:00,18.2
1957-02-28 00:00:00,19.27
1957-03-31 00:00:00,22.31
1957-04-30 00:00:00,25.68
1957-05-31 00:00:00,27.76
1957-06-30 00:00:00,28.13
1957-07-31 00:00:00,27.43
1957-08-31 00:00:00,26.75
1957-09-30 00:00:00,26.28
1957-10-31 00:00:00,24.35
1957-11-30 00:00:00,21.85
1957-12-31 00:00:00,19.6
1958-01-31 00:00:00,19.5
1958-02-28 00:00:00,20.51
1958-03-31 00:00:00,23.93
1958-04-30 00:00:00,27.23
1958-05-31 00:00:00,28.2
1958-06-30 00:00:00,29.01
1958-07-31 00:00:00,27.6
1958-08-31 00:00:00,26.74
1958-09-30 00:00:00,26.37
1958-10-31 00:00:00,24.74
1958-11-30 00:00:00,21.98
1958-12-31 00:00:00,19.65
1959-01-31 00:00:00,18.39
1959-02-28 00:00:00,19.47
1959-03-31 00:00:00,23.66
1959-04-30 00:00:00,26.87
1959-05-31 00:00:00,28.39
1959-06-30 00:00:00,28.47
1959-07-31 00:00:00,26.96
1959-08-31 00:00:00,27.06
1959-09-30 00:00:00,26.27
1959-10-31 00:00:00,24.98
1959-11-30 00:00:00,21.57
1959-12-31 00:00:00,19.44
1960-01-31 00:00:00,18.31
1960-02-29 00:00:00,21.13
1960-03-31 00:00:00,22.65
1960-04-30 00:00:00,26.17
1960-05-31 00:00:00,28.29
1960-06-30 00:00:00,28.5
1960-07-31 00:00:00,27.33
1960-08-31 00:00:00,27.2
1960-09-30 00:00:00,26.33
1960-10-31 00:00:00,24.58
1960-11-30 00:00:00,21.35
1960-12-31 00:00:00,19.59
1961-01-31 00:00:00,18.89
1961-02-28 00:00:00,19.08
1961-03-31 00:00:00,23.84
1961-04-30 00:00:00,26.42
1961-05-31 00:00:00,28.07
1961-06-30 00:00:00,27.8
1961-07-31 00:00:00,27.08
1961-08-31 00:00:00,26.89
1961-09-30 00:00:00,26.45
1961-10-31 00:00:00,24.23
1961-11-30 00:00:00,20.98
1961-12-31 00:00:00,18.3
1962-01-31 00:00:00,17.54
1962-02-28 00:00:00,20.28
1962-03-31 00:00:00,23.31
1962-04-30 00:00:00,26.45
1962-05-31 00:00:00,27.97
1962-06-30 00:00:00,28.25
1962-07-31 00:00:00,27.53
1962-08-31 00:00:00,26.88
1962-09-30 00:00:00,25.92
1962-10-31 00:00:00,24.12
1962-11-30 00:00:00,21.38
1962-12-31 00:00:00,18.9
1963-01-31 00:00:00,17.59
1963-02-28 00:00:00,20.55
1963-03-31 00:00:00,23.31
1963-04-30 00:00:00,25.69
1963-05-31 00:00:00,27.71
1963-06-30 00:00:00,28.24
1963-07-31 00:00:00,27.48
1963-08-31 00:00:00,26.83
1963-09-30 00:00:00,26.26
1963-10-31 00:00:00,24.9
1963-11-30 00:00:00,21.99
1963-12-31 00:00:00,19.23
1964-01-31 00:00:00,17.71
1964-02-29 00:00:00,19.95
1964-03-31 00:00:00,24.25
1964-04-30 00:00:00,26.82
1964-05-31 00:00:00,28.06
1964-06-30 00:00:00,28.03
1964-07-31 00:00:00,26.77
1964-08-31 00:00:00,26.82
1964-09-30 00:00:00,25.99
1964-10-31 00:00:00,24.8
1964-11-30 00:00:00,21.15
1964-12-31 00:00:00,18.78
1965-01-31 00:00:00,18.47
1965-02-28 00:00:00,19.96
1965-03-31 00:00:00,22.81
1965-04-30 00:00:00,25.35
1965-05-31 00:00:00,27.57
1965-06-30 00:00:00,28.44
1965-07-31 00:00:00,27.14
1965-08-31 00:00:00,26.49
1965-09-30 00:00:00,26.25
1965-10-31 00:00:00,24.99
1965-11-30 00:00:00,22.16
1965-12-31 00:00:00,19.15
1966-01-31 00:00:00,18.69
1966-02-28 00:00:00,21.17
1966-03-31 00:00:00,23.51
1966-04-30 00:00:00,26.44
1966-05-31 00:00:00,28.27
1966-06-30 00:00:00,28.25
1966-07-31 00:00:00,27.42
1966-08-31 00:00:00,27.02
1966-09-30 00:00:00,25.99
1966-10-31 00:00:00,24.51
1966-11-30 00:00:00,22.05
1966-12-31 00:00:00,18.94
1967-01-31 00:00:00,18.15
1967-02-28 00:00:00,20.73
1967-03-31 00:00:00,22.69
1967-04-30 00:00:00,26.04
1967-05-31 00:00:00,27.92
1967-06-30 00:00:00,28.36
